Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Breast,Yes,Yes,,,
Cambridge,Breast,Yes,Yes,Yes,Yes,
Cardiff,Breast,,,Yes,,
Cardiff,Breast,,,,,Yes
Hull,Breast,Yes,Yes,,,Yes
ICR,Breast,Yes,Yes,Yes,,Yes
King's College London ,Breast,Yes,Yes,,,Yes
Manchester ,Breast,Yes,Yes,,,Yes
Newcastle,Breast,Yes,,Yes,Yes,
Nottingham,Breast,Yes,Yes,Yes,,Yes
Oxford,Breast,Yes,Yes,,Yes,
Sheffield,Breast,Yes,Yes,Yes,Yes,Yes
Sussex,Breast,Yes,,,,
University College London,Breast,Yes,Yes,,,
Westminster,Breast,Yes,,Yes,,
