Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Belfast,Colorectal,Yes,Yes,,,
Bristol and Cardiff,Colorectal,Yes,,,,
Cambridge,Colorectal,Yes,Yes,,Yes,
Cardiff,Colorectal,,,,Yes,
Cardiff,Colorectal,,,,,Yes
Glasgow,Colorectal,Yes,,,,
Hull,Colorectal,Yes,Yes,,,
Imperial College London,Colorectal,Yes,,,,
King's College London ,Colorectal,Yes,Yes,,,
Liverpool,Colorectal,Yes,,,,
Manchester ,Colorectal,Yes,Yes,,,Yes
Nottingham,Colorectal,Yes,,,,
Oxford,Colorectal,Yes,Yes,,,
Sheffield,Colorectal,Yes,Yes,,,
University College London,Colorectal,Yes,Yes,,,Yes
Westminster,Colorectal,Yes,,Yes,,
