Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Oxford,Bladder,Yes,Yes,,Yes,
Oxford,Brain,Yes,Yes,Yes,,Yes
Oxford,Breast,Yes,Yes,,Yes,
Oxford,Colorectal,Yes,Yes,,,
Oxford,Gastric,Yes,,,,
Oxford,Head & Neck,Yes,Yes,,,
Oxford,Lung,Yes,Yes,,,Yes
Oxford,Oesophageal,Yes,Yes,,,
Oxford,Oesophageal,,,,,
Oxford,Other,Yes,,,,
Oxford,Other,,,,,
Oxford,Pancreatic,Yes,Yes,,Yes,Yes
Oxford,Renal,Yes,Yes,,,
Oxford,Sarcoma,Yes,,,,
Oxford,Skin,Yes,Yes,,,
Oxford,Cervical,Yes,,,,
Oxford,GI tract,,,,,
Oxford,Leukaemia,Yes,,,,
Oxford,Lung,,,,,
Oxford,Prostate,Yes,,,,
