Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
University College London,Breast,Yes,Yes,,,
University College London,Colorectal,Yes,Yes,,,Yes
University College London,Gastric,Yes,Yes,,,
University College London,Haem,Yes,Yes,,,
University College London,Head & Neck,Yes,Yes,,,
University College London,Lung,Yes,Yes,,,
University College London,Oesophageal,Yes,Yes,,,
University College London,Other,,,,,
University College London,Ovarian,Yes,Yes,,,
University College London,Pancreatic,Yes,Yes,,,
