Institute,Tissue Type,In-vitro Cell lines,xenograft models ,PDX models,GEMMs,Syngenic tumour models
Nottingham,Bladder,,Yes,,,Yes
Nottingham,Brain,Yes,Yes,Yes,,
Nottingham,Brain,,,,,
Nottingham,Breast,Yes,Yes,Yes,,Yes
Nottingham,Cervical,Yes,,,,
Nottingham,Colorectal,Yes,,,,
Nottingham,GBM,Yes,,,,
Nottingham,Head & Neck,Yes,,,,
Nottingham,Leukaemia,Yes,,,,
Nottingham,Lung,Yes,Yes,,,Yes
Nottingham,Lung,,,,,
Nottingham,Medulloblastoma,,,,,
Nottingham,Other,,,,,
Nottingham,Other,,,,,
Nottingham,Ovarian,Yes,Yes,,,
Nottingham,Pancreatic,Yes,Yes,,,
Nottingham,Renal,,Yes,,,Yes
